comm_no,strategy,contract,lot
ag,fl50_ag_day,ag1706,1
al,fl50_al_day,al1704,1
au,fl50_au_day,au1706,1
cu,fl50_cu_day,cu1704,1
hc,fl50_hc_day,hc1705,1
ni,fl50_ni_day,ni1705,1
pb,fl50_pb_day,pb1704,1
rb,fl50_rb_day,rb1705,1
ru,fl50_ru_day,ru1705,1
zn,fl50_zn_day,zn1703,1
ag,fl51_ag_day,ag1706,1
al,fl51_al_day,al1704,1
au,fl51_au_day,au1706,1
cu,fl51_cu_day,cu1704,1
hc,fl51_hc_day,hc1705,1
ni,fl51_ni_day,ni1705,1
pb ,fl51_pb_day,pb1704,1
rb,fl51_rb_day,rb1705,1
ru,fl51_ru_day,ru1705,1
zn,fl51_zn_day,zn1704,1
